drawDate,winningNumber1,winningNumber2,winningNumber3,winningNumber4,winningNumber5,megaBall,multiplier,rules,,Statistics:,Old Game,2013 Rules,2017 Rules,,,,
2002-05-17,15,18,25,33,47,30,,2002,,,,,,,,,
2002-05-21,4,28,39,41,44,9,,2002,,,,,,,,,
2002-05-24,2,4,32,44,52,36,,2002,,Old Game Statistics (up to 2013-10-18),,,,2013 Rules,2017 Rules,,
2002-05-28,6,21,22,29,32,24,,2002,,,Perfect Frequency =,,1.79%,,,,
2002-05-31,12,28,45,46,52,47,,2002,,Number,# of times,Frequency,,MegaBall,# of times ,Frequency,
2002-06-04,3,25,29,30,48,48,,2002,,1,97,1.63%,,1,25,2.10%,
2002-06-07,14,22,27,28,42,13,,2002,,2,123,2.07%,,2,23,1.93%,
2002-06-11,5,6,9,33,44,52,,2002,,3,104,1.75%,,3,30,2.52%,
2002-06-14,4,8,32,37,43,2,,2002,,4,112,1.88%,,4,27,2.27%,
2002-06-18,6,13,18,27,45,18,,2002,,5,110,1.85%,,5,23,1.93%,
2002-06-21,13,18,32,39,49,6,,2002,,6,106,1.78%,,6,26,2.18%,
2002-06-25,4,18,21,27,41,50,,2002,,7,104,1.75%,,7,29,2.44%,
2002-06-28,18,31,49,50,51,4,,2002,,8,101,1.70%,,8,26,2.18%,
2002-07-02,14,22,32,35,44,6,,2002,,9,112,1.88%,,9,27,2.27%,
2002-07-05,11,20,26,29,41,41,,2002,,10,126,2.12%,,10,29,2.44%,
2002-07-09,26,29,31,44,48,40,,2002,,11,104,1.75%,,11,23,1.93%,
2002-07-12,13,19,23,38,47,15,,2002,,12,112,1.88%,,12,22,1.85%,
2002-07-16,10,24,35,49,52,47,,2002,,13,109,1.83%,,13,31,2.61%,
2002-07-19,7,15,24,37,46,9,,2002,,14,122,2.05%,,14,20,1.68%,
2002-07-23,10,12,29,32,38,7,,2002,,15,105,1.76%,,15,25,2.10%,
2002-07-26,20,27,28,37,49,32,,2002,,16,112,1.88%,,16,19,1.60%,
2002-07-30,2,6,22,27,44,1,,2002,,17,116,1.95%,,17,20,1.68%,
